date,infected,death
2020/3/20,1219,13
2020/3/21,1281,21
2020/3/22,899,23
2020/3/23,1321,22
2020/3/24,1082,2
2020/3/25,1020,31
2020/3/26,914,38
2020/3/27,1117,40
2020/3/28,1148,33
2020/3/29,753,36
2020/3/30,1093,59
2020/3/31,683,74
2020/4/1,1163,55
2020/4/2,1059,48
2020/4/3,779,55
2020/4/4,899,75
2020/4/5,595,49
2020/4/6,557,50
2020/4/7,596,56
2020/4/8,1027,74
2020/4/9,771,53
2020/4/10,500,54
2020/4/11,556,34
2020/4/12,308,70
2020/4/13,273,32
2020/4/14,248,36
2020/4/15,400,65
2020/4/16,396,42
2020/4/17,346,46
2020/4/18,326,41
2020/4/19,336,25
2020/4/20,204,36
2020/4/21,119,49
2020/4/22,205,31
2020/4/23,228,40
2020/4/24,181,40
2020/4/25,217,10
2020/4/26,167,11
2020/4/27,103,55
2020/4/28,100,34
2020/4/29,143,17
2020/4/30,179,21
2020/5/1,119,17
2020/5/2,112,8
2020/5/3,88,0
2020/5/4,76,22
2020/5/5,28,11
2020/5/6,51,10
2020/5/7,66,5
2020/5/8,81,13
2020/5/9,44,7
2020/5/10,54,3
2020/5/11,39,12
2020/5/12,36,22
2020/5/13,33,3
2020/5/14,50,2
